"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"48","12-32-12-8-6-32-3-32","cifar10","0.5261","0.1","-0.04856560112230213","0.8387753367424011","48","-0.22984923422336578","0.7185200452804565","2.782517209617181","gaussian","1"
"49","6-2-3-2-6-32-9-16","cifar10","0.4486","0.027336973127060293","-0.021228627995241833","0.6886177062988281","49","-0.1907850205898285","0.7043116688728333","2.7899176683589166","gaussian","0"
"50","6-4-6-64-9-64-6-2","cifar10","0.4223","-0.0044304214983517665","-0.0256590494935936","0.6773692965507507","50","0.08198770880699158","0.7065089344978333","2.797149622536537","gaussian","1"
"51","3-4-24-64-1-16-3-4","cifar10","0.4421","0.01625566280131857","-0.009403386692275029","1.2283810377120972","51","0.4502396881580353","0.7133944034576416","2.804220259795698","gaussian","1"
"52","1-4-1-4-12-32-12-8","cifar10","0.1","-0.1","-0.10940338669227503","0.8407217264175415","52","-0.3747866451740265","0.7201311588287354","2.811136324898324","gaussian","0"
"53","6-2-6-16-3-64-6-32","cifar10","0.5065","0.1","-0.009403386692275029","0.9019036293029785","53","0.061730168759822845","0.7183746099472046","2.81790415505997","gaussian","0"
"54","12-2-24-4-24-8-3-4","cifar10","0.4357","0.043778899354275036","0.03437551266200001","0.9348541498184204","54","-0.321429044008255","0.7247981429100037","2.8245297118509036","gaussian","0"
"55","3-8-3-64-9-32-3-2","cifar10","0.3089","-0.09177688051657995","-0.05740136785457994","0.8441879153251648","55","-0.13982424139976501","0.722292959690094","2.831018610052739","gaussian","0"
"56","3-64-12-16-24-2-3-16","cifar10","0.1","-0.1","-0.15740136785457995","0.6995370984077454","56","-0.12356659770011902","0.7045696377754211","2.837376143811444","gaussian","1"
"57","24-8-3-4-9-8-3-2","cifar10","0.2846","-0.04125720353061124","-0.1986585713851912","0.9812046885490417","57","-0.41997960209846497","0.7324222326278687","2.8436073103839603","gaussian","0"
"58","1-2-1-16-3-64-24-64","cifar10","0.5022","0.1","-0.09865857138519118","0.9404037594795227","58","-0.11592736840248108","0.7268836498260498","2.849716831738346","gaussian","0"
"59","1-32-24-32-9-64-6-32","cifar10","0.5607","0.1","0.0013414286148088206","0.7682075500488281","59","-0.17896126210689545","0.7102994322776794","2.8557091742352614","gaussian","1"
"60","9-8-1-64-24-64-3-4","cifar10","0.4852","0.08944031179232709","0.09078174040713591","0.8180645108222961","60","-0.06086428835988045","0.7175619602203369","2.8615885665909766","gaussian","1"
"61","6-2-6-2-9-2-3-64","cifar10","0.353","-0.06064775056613836","0.03013398984099755","0.7525011301040649","61","-0.037514228373765945","0.701081395149231","2.867359016298207","gaussian","1"
"62","24-64-1-32-24-16-24-32","cifar10","0.509","0.1","0.13013398984099755","0.929068386554718","62","-0.06446675956249237","0.7250542640686035","2.8730243246603715","gaussian","0"
"63","6-16-9-16-24-8-9-64","cifar10","0.6171","0.1","0.23013398984099756","0.7876918911933899","63","-0.16067177057266235","0.7143517732620239","2.8785881005769243","gaussian","0"
"64","12-2-3-32-9-16-1-32","cifar10","0.4574","-0.004431648289862866","0.2257023415511347","0.9543140530586243","64","-0.26513293385505676","0.7171741127967834","2.884053773201766","gaussian","0"
"65","6-2-3-64-3-16-24-32","cifar10","0.5701","0.1","0.3257023415511347","0.8296383619308472","65","-0.3255211412906647","0.7105528116226196","2.889424603583086","gaussian","0"
"66","24-64-3-16-12-32-1-64","cifar10","0.5108","0.028023745094487795","0.3537260866456225","0.9420648813247681","66","-0.03560014069080353","0.7130023837089539","2.8947036953810747","gaussian","0"
"67","3-2-3-16-12-8-6-32","cifar10","0.5121","0.023718996075590193","0.3774450827212127","0.9290583729743958","67","-0.3881763517856598","0.7294116020202637","2.899894004749472","gaussian","0"
