,action,dataset,accuracy,reward,total_reward,loss,iteration,mu,sigma,ucb_reward,controller,random
129,9-32-1-8-24-16-9-8,cifar100,0.152,0.006478213749700673,0.6154287478516519,1.0315929651260376,49.0,-0.03853811323642731,0.7223659157752991,1.6107597168439136,gaussian,0.0
130,1-8-6-2-3-64-12-16,cifar100,0.131,-0.01581742900023944,0.5996113188514125,0.9482936263084412,50.0,-0.07557645440101624,0.7240948677062988,1.6149350875351298,gaussian,0.0
131,3-32-3-64-6-32-24-64,cifar100,0.2879,0.1,0.6996113188514125,0.6725346446037292,51.0,-0.13743704557418823,0.7029136419296265,1.6190173218600485,gaussian,0.0
132,1-32-6-8-3-4-6-16,cifar100,0.1282,-0.04430315456015324,0.6553081642912593,0.8294625282287598,52.0,-0.23046499490737915,0.7151809930801392,1.6230103139087826,gaussian,0.0
133,3-2-9-4-3-2-24-4,cifar100,0.0607,-0.1,0.5553081642912593,1.0241156816482544,53.0,-0.17942124605178833,0.7210603952407837,1.408952077529985,gaussian,0.0
134,9-32-1-8-24-16-9-8,cifar100,0.1636,0.020545981081501935,0.5758541453727613,0.6575325131416321,54.0,-0.2077467143535614,0.7056614756584167,1.4122648559254518,gaussian,0.0
135,1-8-6-2-3-64-12-16,cifar100,0.1379,-0.009263215134798441,0.5665909302379628,0.8294625282287598,55.0,-0.23046499490737915,0.7151809930801392,1.4155093050263694,gaussian,0.0
136,3-32-3-64-6-32-24-64,cifar100,0.3039,0.1,0.6665909302379628,0.8370451331138611,56.0,-0.1450347900390625,0.7151246070861816,1.418688071905722,gaussian,0.0
137,1-32-6-8-3-4-6-16,cifar100,0.1403,-0.036728457686271004,0.6298624725516918,0.853818416595459,57.0,-0.11648470908403397,0.707322895526886,1.4218036551919802,gaussian,0.0
138,3-2-9-4-3-2-24-4,cifar100,0.0637,-0.1,0.5298624725516918,0.8358182907104492,58.0,-0.3107658624649048,0.7298304438591003,1.2744321104784544,gaussian,0.0
139,9-32-1-8-24-16-9-8,cifar100,0.1632,0.01471378708078655,0.5445762596324784,0.9430178999900818,59.0,0.12746328115463257,0.7097700834274292,1.277111967511967,gaussian,0.0
140,1-8-6-2-3-64-12-16,cifar100,0.1475,-0.0039289703353707905,0.5406472892971076,0.6882572770118713,60.0,0.00719488225877285,0.7094539403915405,1.2797413117067216,gaussian,0.0
141,3-32-3-64-6-32-24-64,cifar100,0.3206,0.1,0.6406472892971076,0.7906659245491028,61.0,-0.26879510283470154,0.7104633450508118,1.2823219352679438,gaussian,0.0
142,1-32-6-8-3-4-6-16,cifar100,0.1283,-0.05633454101463728,0.5843127482824703,0.7479546070098877,62.0,0.03104449436068535,0.714821994304657,1.2848555381902032,gaussian,0.0
143,3-2-9-4-3-2-24-4,cifar100,0.0604,-0.1,0.4843127482824703,0.6863240599632263,63.0,-0.2381380796432495,0.7044815421104431,1.175178671010148,gaussian,0.0
144,9-32-1-8-24-16-9-8,cifar100,0.1735,0.022725893750632137,0.5070386420331024,0.8310016393661499,64.0,-0.1401054561138153,0.7240151762962341,1.1774100225154747,gaussian,0.0
145,1-8-6-2-3-64-12-16,cifar100,0.0739,-0.08141928499949427,0.4256193570336082,1.7451778650283813,65.0,0.32814905047416687,0.7218291759490967,1.17960265483702,gaussian,0.0
146,3-32-3-64-6-32-24-64,cifar100,0.3171,0.1,0.5256193570336082,0.7190504670143127,66.0,-0.15701735019683838,0.7136170268058777,1.1817578350387508,gaussian,0.0
147,1-32-6-8-3-4-6-16,cifar100,0.1254,-0.04924834239967632,0.47637101463393183,0.6672466993331909,67.0,-0.005965542048215866,0.7082175016403198,1.1838767699653774,gaussian,0.0
148,3-2-9-4-3-2-24-4,cifar100,0.0619,-0.1,0.37637101463393186,0.7234863638877869,68.0,-0.10525549203157425,0.7030826807022095,1.097986170245471,gaussian,0.0
